g,Val
1.0,5.276404568162625e-14
2.0,2.2872158490087723e-12
3.0,4.133520830681505e-14
4.0,1.4135520902148833e-12
5.0,4.2983522091416376e-14
6.0,2.1737016345828656e-12
7.0,4.11192251340191e-14
8.0,1.3937175850757312e-12
9.0,4.117792702033174e-14
10.0,2.1730553766571733e-12
11.0,1.1299646492416345e-12
12.0,6.769608244881857e-13
13.0,3.671771656619505e-12
14.0,7.692164010807822e-12
15.0,4.1063148200464164e-14
16.0,6.973754022443593e-14
17.0,2.266341062357025e-9
18.0,6.973747992145708e-14
19.0,4.1968394132439114e-14
20.0,4.1063148184263057e-14
21.0,4.1068441244547125e-14
22.0,1.5502623400738896e-9
23.0,5.081624564744048e-14
24.0,4.943090266506631e-14
25.0,1.840216534506706e-9
26.0,4.3958976171684334e-14
27.0,5.954520928254343e-14
28.0,1.879215309365257e-9
29.0,4.9430899068859826e-14
30.0,4.905119567186546e-14
31.0,4.3958976493186174e-14
32.0,5.081624724078421e-14
33.0,1.8500533064252996e-9
34.0,4.905119629031221e-14
35.0,4.3958976152310213e-14
36.0,4.267800988015748e-14
37.0,1.6691845457062097e-9
38.0,4.1814339048551456e-14
39.0,4.137626478491502e-14
40.0,4.314643248891545e-14
41.0,1.6808861904390896e-9
42.0,4.207727485124825e-14
43.0,4.1478623872885994e-14
44.0,0.0
45.0,0.0
46.0,0.0
47.0,4.4055149283788154e-14
48.0,5.3477031816564994e-14
49.0,1.9232296625824375e-9
50.0,5.140671734325376e-14
51.0,4.625851238843623e-14
52.0,4.765801897750828e-14
53.0,4.1947367047283175e-14
54.0,4.106314818890302e-14
55.0,4.106701393103603e-14
56.0,4.10631482964882e-14
57.0,5.5140619733657354e-14
58.0,4.829092790892655e-14
59.0,1.8077201144574202e-9
60.0,4.7041234562947487e-14
61.0,4.5280238023953205e-14
62.0,4.8230639828554674e-14
63.0,4.23781730125639e-14
64.0,1.6609991862487813e-9
65.0,4.1090996109495284e-14
66.0,4.1063148185445666e-14
67.0,4.1617177581024406e-14
68.0,4.1063148185387505e-14
69.0,4.106629292178221e-14
70.0,4.1063148320301956e-14
