tech,n,Val
1.0,1.0,1.4395237671594693e-12
1.0,2.0,1.4028236940452701e-12
1.0,3.0,1.3288043008088225e-12
1.0,4.0,1.1967049440048978e-12
1.0,5.0,1.3947421352085051e-12
1.0,6.0,2.0872108818153956e-12
1.0,7.0,4.107198698312529e-16
1.0,8.0,4.1077219400130107e-16
1.0,9.0,4.1079141338324403e-16
1.0,10.0,4.108090949626161e-16
1.0,11.0,4.107414990381614e-16
1.0,12.0,4.107471178258989e-16
1.0,13.0,4.1082137335889754e-16
1.0,14.0,4.1083016581200883e-16
1.0,15.0,4.1075510979819645e-16
1.0,16.0,4.1081567775448517e-16
1.0,17.0,4.107495608979311e-16
1.0,18.0,4.107476426914856e-16
2.0,1.0,1.028521831413103e-12
2.0,2.0,6281.1622568315115
2.0,3.0,4401.548536000249
2.0,4.0,3.670593761195819e-12
2.0,5.0,170.26610405673054
2.0,6.0,4.2475724887320965e-12
2.0,7.0,4.108127212576971e-16
2.0,8.0,4.1092268719005644e-16
2.0,9.0,4.109691375359841e-16
2.0,10.0,4.110727218427705e-16
2.0,11.0,4.1092709083841743e-16
2.0,12.0,4.1086527388681113e-16
2.0,13.0,4.1090066504514445e-16
2.0,14.0,4.1104232411282735e-16
2.0,15.0,4.108027418790657e-16
2.0,16.0,4.1097326199362176e-16
2.0,17.0,4.1089451643827865e-16
2.0,18.0,4.108386360732733e-16
