tech,n,Val
1.0,1.0,6.628006255615178e-15
1.0,2.0,6.401205515784454e-15
1.0,3.0,5.9429846403223e-15
1.0,4.0,5.3830801613992995e-15
1.0,5.0,6.2751437072665825e-15
1.0,6.0,8.540486950863307e-15
1.0,7.0,1.754723854736684e-18
1.0,8.0,1.7549432753613025e-18
1.0,9.0,1.755025272582762e-18
1.0,10.0,1.755100592285985e-18
1.0,11.0,1.754813172166881e-18
1.0,12.0,1.7548359135186737e-18
1.0,13.0,1.7551512684760476e-18
1.0,14.0,1.7551948849429905e-18
1.0,15.0,1.7548750435831734e-18
1.0,16.0,1.755128320780922e-18
1.0,17.0,1.75485061793249e-18
1.0,18.0,1.754842423756194e-18
2.0,1.0,4.473584347594825e-15
2.0,2.0,13816.106321553585
2.0,3.0,4467.6821179939
2.0,4.0,1.7554174449573955e-14
2.0,5.0,896.1688107596813
2.0,6.0,1.4924772513258022e-14
2.0,7.0,1.7551208054143072e-18
2.0,8.0,1.7555778137448328e-18
2.0,9.0,1.7557753891551666e-18
2.0,10.0,1.7562140787707435e-18
2.0,11.0,1.7555904780055897e-18
2.0,12.0,1.7553277490563114e-18
2.0,13.0,1.7554516690579836e-18
2.0,14.0,1.7561005810238296e-18
2.0,15.0,1.755076962787648e-18
2.0,16.0,1.755793783017794e-18
2.0,17.0,1.7554685994112656e-18
2.0,18.0,1.7552311433705823e-18
