g,Val
1.0,1.0268858605423514e-14
2.0,5.192509169405482e-13
3.0,8.011438245068099e-15
4.0,2.965389778520716e-13
5.0,8.244367336349818e-15
6.0,4.2330472790997366e-13
7.0,7.871233805798009e-15
8.0,2.6658198575899423e-13
9.0,7.898864374405956e-15
10.0,4.2718414271300104e-13
11.0,1.4614905029799747e-13
12.0,1.0092071941897924e-13
13.0,2.81920713885608e-13
14.0,4.592305733750265e-13
15.0,7.854294772723269e-15
16.0,1.3281763808004312e-14
17.0,4.321549716273542e-10
18.0,1.3281715413587702e-14
19.0,8.02737960542784e-15
20.0,7.854294729908594e-15
21.0,7.855271947931769e-15
22.0,2.965262871089316e-10
23.0,9.689327087917913e-15
24.0,9.42613704284749e-15
25.0,3.5126017858127095e-10
26.0,8.389055363018216e-15
27.0,1.1347690664078757e-14
28.0,3.58670866994368e-10
29.0,9.42612925987441e-15
30.0,9.356559049344895e-15
31.0,8.389056172491993e-15
32.0,9.689330406808868e-15
33.0,3.5312925040649203e-10
34.0,9.356560230574966e-15
35.0,8.389055311700706e-15
36.0,8.132573994048773e-15
37.0,3.1841614094317573e-10
38.0,7.970140908197476e-15
39.0,7.900303110900034e-15
40.0,8.192094698139203e-15
41.0,3.200921603088287e-10
42.0,7.994906122433295e-15
43.0,7.907610323062928e-15
44.0,0.0
45.0,0.0
46.0,0.0
47.0,8.363399529174814e-15
48.0,1.0225888781533895e-14
49.0,3.6779212768707377e-10
50.0,9.8301182374219e-15
51.0,8.846112263268911e-15
52.0,9.113465723348493e-15
53.0,8.021766681816441e-15
54.0,7.854294741720151e-15
55.0,7.854975315981637e-15
56.0,7.854295020678735e-15
57.0,1.050069170725264e-14
58.0,9.201684712960496e-15
59.0,3.4500606753935264e-10
60.0,8.968882972926008e-15
61.0,8.646763980196608e-15
62.0,9.226399610962876e-15
63.0,8.10681323837404e-15
64.0,3.1772858114004987e-10
65.0,7.862180112164777e-15
66.0,7.85429473306222e-15
67.0,7.960166312990807e-15
68.0,7.85429473282796e-15
69.0,7.854877174068342e-15
70.0,7.854295078739706e-15
