tech,n,Val
1.0,1.0,3.0179875713584266e-13
1.0,2.0,2.8623600464015195e-13
1.0,3.0,2.6818730521916065e-13
1.0,4.0,2.4095323257270355e-13
1.0,5.0,2.8423751836809296e-13
1.0,6.0,3.8214818704004003e-13
1.0,7.0,7.855985537880417e-17
1.0,8.0,7.856979092688479e-17
1.0,9.0,7.857345885178394e-17
1.0,10.0,7.857682507415408e-17
1.0,11.0,7.856383595679553e-17
1.0,12.0,7.856485957789724e-17
1.0,13.0,7.857898617443163e-17
1.0,14.0,7.858094125067074e-17
1.0,15.0,7.85666212442867e-17
1.0,16.0,7.857796162071962e-17
1.0,17.0,7.85655271692981e-17
1.0,18.0,7.856516165004231e-17
2.0,1.0,2.0153186351368895e-13
2.0,2.0,13080.691347575059
2.0,3.0,4495.474966649804
2.0,4.0,7.668971182649071e-13
2.0,5.0,1661.6878608636987
2.0,6.0,6.679805223133295e-13
2.0,7.0,7.857762163610878e-17
2.0,8.0,7.859829784425263e-17
2.0,9.0,7.860714954359469e-17
2.0,10.0,7.862685223384349e-17
2.0,11.0,7.859860571845072e-17
2.0,12.0,7.858687487651894e-17
2.0,13.0,7.859244092776897e-17
2.0,14.0,7.862148915469946e-17
2.0,15.0,7.857566003850172e-17
2.0,16.0,7.860775345227415e-17
2.0,17.0,7.859319201495958e-17
2.0,18.0,7.858256469902444e-17
