g,Val
1.0,1.298374945962044e-15
2.0,6.230617895739217e-14
3.0,1.0131398511813048e-15
4.0,3.45795058701108e-14
5.0,1.0535479073153418e-15
6.0,5.624583087079757e-14
7.0,1.008189512340247e-15
8.0,3.4169737601346886e-14
9.0,1.0095959530500885e-15
10.0,5.6539759677530446e-14
11.0,2.760031631428468e-14
12.0,1.6559400719243377e-14
13.0,8.894374507796594e-14
14.0,1.8822289539411278e-13
15.0,1.0067429632337047e-15
16.0,1.7122168114738287e-15
17.0,5.562051839315627e-11
18.0,1.7122074873025421e-15
19.0,1.0289370852243846e-15
20.0,1.0067429629667036e-15
21.0,1.0068732648312097e-15
22.0,3.8007702459722516e-11
23.0,1.2471617044848675e-15
24.0,1.213126879066816e-15
25.0,4.5146790736064564e-11
26.0,1.0786157190504104e-15
27.0,1.4616564580136317e-15
28.0,4.6105005156733706e-11
29.0,1.2131267109782024e-15
30.0,1.2037964109942931e-15
31.0,1.0786157265749696e-15
32.0,1.247161641371426e-15
33.0,4.538847659426316e-11
34.0,1.2037964325347902e-15
35.0,1.0786157187291484e-15
36.0,1.0458240811099842e-15
37.0,4.091323804069448e-11
38.0,1.024733296956393e-15
39.0,1.0143927621932714e-15
40.0,1.0574883248478548e-15
41.0,4.120351301616226e-11
42.0,1.0312987833683408e-15
43.0,1.0169176911752099e-15
44.0,0.0
45.0,0.0
46.0,0.0
47.0,1.0800856247765975e-15
48.0,1.3110967564780273e-15
49.0,4.7151779416115804e-11
50.0,1.2603387196419468e-15
51.0,1.1341181593142029e-15
52.0,1.1684317715715936e-15
53.0,1.028423395364574e-15
54.0,1.0067429630430654e-15
55.0,1.006839379469669e-15
56.0,1.0067429649161115e-15
57.0,1.3518564468293792e-15
58.0,1.1839283054559046e-15
59.0,4.431944403728793e-11
60.0,1.1532914912237055e-15
61.0,1.1101330919267588e-15
62.0,1.1823931930088868e-15
63.0,1.0389255957672932e-15
64.0,4.072145738092422e-11
65.0,1.0073715310479971e-15
66.0,1.006742962986116e-15
67.0,1.0203268033727743e-15
68.0,1.0067429629850936e-15
69.0,1.0068203164111041e-15
70.0,1.0067429654657393e-15
