tech,n,Val
1.0,1.0,3.5742836078476414e-14
1.0,2.0,3.414120165053267e-14
1.0,3.0,3.278065937397518e-14
1.0,4.0,2.932788266144601e-14
1.0,5.0,3.454770064366968e-14
1.0,6.0,5.113292943636963e-14
1.0,7.0,1.006959665378995e-17
1.0,8.0,1.007088638176977e-17
1.0,9.0,1.0071357525802591e-17
1.0,10.0,1.0071790741707195e-17
1.0,11.0,1.0070124441398877e-17
1.0,12.0,1.007026214234894e-17
1.0,13.0,1.0072085048414172e-17
1.0,14.0,1.0072300757709344e-17
1.0,15.0,1.007046063261941e-17
1.0,16.0,1.007194553849364e-17
1.0,17.0,1.0070324343826608e-17
1.0,18.0,1.0070277555567099e-17
2.0,1.0,2.5312971710972487e-14
2.0,2.0,5919.50822940121
2.0,3.0,4424.1589577392515
2.0,4.0,8.923423834703541e-14
2.0,5.0,602.3571093762707
2.0,6.0,1.0395921929942528e-13
2.0,7.0,1.0071873044447186e-17
2.0,8.0,1.0074583642506408e-17
2.0,9.0,1.0075723233503123e-17
2.0,10.0,1.007826682395673e-17
2.0,11.0,1.0074664793392923e-17
2.0,12.0,1.0073156299590762e-17
2.0,13.0,1.0074027510997163e-17
2.0,14.0,1.007750225863244e-17
2.0,15.0,1.0071628418765674e-17
2.0,16.0,1.007580873751837e-17
2.0,17.0,1.0073877785656667e-17
2.0,18.0,1.0072508426612118e-17
