node,annual_exp_welfare_delta,annual_exp_CS_delta,annual_exp_net_PS_delta,annual_exp_net_CR_delta
NO1,-1.3914173916173916e7,-2.4124176777397156e7,2.229011966187185e7,-1.2080116800644219e7
NO2,5.674070934022279e7,-4.113065396602821e7,1.2693932411504006e8,-2.9067960808784977e7
NO3,-7.044039114195427e6,-1.8611280685181618e7,2.02016428885684e7,-8.634401317582384e6
NO4,5.598056443213405e6,-2.074173300446129e7,3.525418378153908e7,-8.914394333864838e6
NO5,4.6860505878915474e7,-7.638794104298592e6,4.547799155394983e7,9.02130842926525e6
DE,-8.512516629797491e7,1.5336276494421997e9,-1.6697732516038322e9,5.1020435863577485e7
SE1,-1.2552240594074268e7,-27402.82015800476,62866.388914227486,-1.2587704162828505e7
SE2,-1.9757133079497747e7,1.1458888261919022e7,-1.468242705087763e7,-1.6533594290536702e7
SE3,3.360868711029346e7,6.22269634558754e7,-8.116558398070157e6,-2.0501717947512746e7
SE4,-4.008684102837124e6,1.7833954704871178e7,-2.283310440196109e7,990465.5942494273
DK1,-4.4647167862086035e7,1.5141281471669197e7,-1.918256583600831e7,-4.060588349774903e7
DK2,-1.5484700656884918e7,1.729136049009323e7,-3.046850529585284e7,-2.307555851124108e6
AT,1.14671849068578e8,1.0308453752864075e8,-2.5610486213340104e7,3.719779775329018e7
BE,4.2381025908723045e6,2.9990803356132507e6,-2.229401199341774e6,3.468423454622537e6
CZ,-1.8599774441292368e7,1.567703815120697e6,-1.3362436428140402e6,-1.8831234613597706e7
FR,7.014453634382418e7,2.5805233634780884e8,-2.5427995579453278e8,6.637215579063618e7
NL,-1.8742668565485988e7,-4.807181209403992e6,5.950179664970636e6,-1.9885667021056473e7
PL,-7.418482365086419e6,337759.17404174805,-359039.23568308353,-7.397202303464234e6
