DE_welfare_delta,NO_welfare_delta,DE_comp_no_comp,DE_comp_lump_sum,DE_comp_PPA_DE,DE_comp_PPA_NO,DE_comp_flow,DE_comp_flow_value_NO,DE_comp_flow_value_DE,DE_comp_flow_value_avg,DE_comp_uncon_flow_value,DE_comp_con_flow_value
-1.078586361793518e6,-5.528618286121845e6,0.0,6.649663421970844e6,3.692595783313607e7,-1.9303596636393194e6,5.611663393103821e6,4.644877889297238e6,8.40922999614874e6,6.863195338738285e6,6.068326988959227e6,7.295510534869994e6
1.4582821939517975e7,-1.1359848282806873e7,0.0,6.649663421970844e6,3.967979655244052e6,-2.98897341503486e7,8.153535629338689e6,3.2769022030432713e6,7.779605070860872e6,5.930326765306784e6,4.699366413306209e6,6.60012363602289e6
-1.1219721636426926e7,1.89746472029047e7,0.0,6.649663421970844e6,1.5235785904396735e6,1.4639097669943605e7,8.086661188710382e6,8.926595057515739e6,7.500326384804447e6,8.086100705643333e6,1.0841385412580347e7,6.58552190500525e6
-1.7469675960237503e7,7.070302136684418e6,0.0,6.649663421970844e6,4.854159299813315e6,1.7608476761530943e7,4.877098146800103e6,6.509088952926087e6,4.875048828640775e6,5.546155726198356e6,1.0817974667196913e7,2.675657160116547e6
2.356312636198044e6,-1.0822796349751472e7,0.0,6.649663421970844e6,541892.2484479523,-6.892135133886921e6,7.830769196178582e6,5.943491688121589e6,7.179593141047442e6,6.671921267627052e6,8.230050451395234e6,5.823201933040696e6
-1.7264779923114777e6,1.7581576091463566e7,0.0,6.649663421970844e6,2.606932350685798e7,1.9824978366393643e6,6.993074004712438e6,6.350785805834436e6,8.697314175946508e6,7.733585469966096e6,5.151198283322351e6,9.139027426183235e6
-2.3241387590942383e6,8.79906197223425e6,0.0,6.649663421970844e6,2.3647079058140807e7,-358302.1866276036,3.94318137126915e6,3.391789268997743e6,5.703494579799769e6,4.75406784532537e6,-924540.7459319606,7.845380668549042e6
-8.625168776147842e6,2.8683162624011517e7,0.0,6.649663421970844e6,619656.5602331115,1.702311027785433e7,9.215312787240895e6,1.0216166984289961e7,8.44739126060445e6,9.173834614568448e6,8.255904135091523e6,9.673001820100084e6
-1.2755170817079544e7,-3.855484041621208e6,0.0,6.649663421970844e6,-215145.419236775,1.9298616988403715e7,6.988996261441733e6,8.566923402030846e6,6.345390313108269e6,7.25778295082298e6,1.189288754437566e7,4.733823087763566e6
-1.3342303289718628e6,1.3085441136818886e7,0.0,6.649663421970844e6,3.585846972108976e6,4.1064270682572187e6,8.425582374243932e6,7.87192499251745e6,7.9932085216407785e6,7.943396884982959e6,7.966005958300974e6,7.93058268505506e6
-1.0875899604524612e7,3.7602570419493675e7,0.0,6.649663421970844e6,3.3857959281132356e6,1.5169571561377246e7,8.98299178574283e6,9.77602776564199e6,8.48294768505292e6,9.014020911640272e6,6.3461000532086985e6,1.0465948699357696e7
711098.040348053,1.0955195269717693e7,0.0,6.649663421970844e6,-1.466998710043911e6,-2.5401641424111575e6,7.362734343475008e6,6.09331649235042e6,6.5739007853173865e6,6.376522869637705e6,4.272063554531744e6,7.5218519846115885e6
-9.343670573640823e6,-1.4219755143194199e6,0.0,6.649663421970844e6,5.707593059200546e6,1.2705083687380785e7,5.924763427876761e6,6.793908919575277e6,5.905361790974394e6,6.270291695660596e6,7.773359131804818e6,5.451575266595536e6
-1.5166927141202927e7,1.4128462855462074e7,0.0,6.649663421970844e6,1.5467505489852149e7,2.2095441744700313e7,5.725704561611917e6,7.82408380159369e6,6.596020735669371e6,7.100391210989151e6,1.0641844435224494e7,5.171859944611046e6
-8.045933182342529e6,2.1515625338968277e7,0.0,6.649663421970844e6,3.5897313332115104e6,1.3719981143418424e7,8.332197410220827e6,9.022838524907317e6,7.90851343616472e6,8.366171263571805e6,6.334469129577692e6,9.4844476168887e6
-1.4550431448915482e7,-5.436510642484188e6,0.0,6.649663421970844e6,5.107330774992278e6,1.1716660397388158e7,3.1336027174854754e6,4.233834801216203e6,3.3099322754688975e6,3.6893827849666607e6,2.4671675467278445e6,4.3545610338087585e6
-1.3090478756362915e7,-6.453425620152473e6,0.0,6.649663421970844e6,3.3450021845222246e6,1.8337669355490737e7,6.7954967768959515e6,8.275047428951081e6,6.487235370780005e6,7.22149702442203e6,9.087149109173829e6,6.205317495773935e6
-1.5774658505268097e7,1.913335584561014e7,0.0,6.649663421970844e6,9.17933801875942e6,2.2701553243726008e7,7.351089829066567e6,9.318811936828787e6,7.514422459388312e6,8.255492526269413e6,9.551276828954974e6,7.549501393258974e6
-4.884082438110352e6,-2.9806110198316574e6,0.0,6.649663421970844e6,1.0307137895683177e7,5.818600899417253e6,6.795122447363547e6,6.669945572457929e6,7.108880023681039e6,6.928607866704039e6,6.270012216505329e6,7.286727711663359e6
1.6699867789691925e7,-7.102018777069092e6,0.0,6.649663421970844e6,-8.124048342702676e6,-3.377272686384104e7,9.53093209035825e6,3.979987811386194e6,7.953665716641107e6,6.3216601059734505e6,4.844084549170743e6,7.125697253739674e6
-1.2413185238046646e7,-1.8496540023915768e7,0.0,6.649663421970844e6,7.073657267278982e6,1.2192307509824442e7,2.4604589985039225e6,3.7079505528521067e6,2.8725944031404397e6,3.21567855735227e6,6.8016119838358e6,1.2631778736517807e6
-1.6807755481380463e7,3.596015860696316e7,0.0,6.649663421970844e6,2.4846588224693105e7,2.6125134924107976e7,6.59706572999057e6,9.100300481749212e6,8.227447495432143e6,8.585931752314765e6,8.718912587322507e6,8.5129867977604e6
-8.819744373580933e6,-4.744435307174683e6,0.0,6.649663421970844e6,-3.2361770337222433e6,1.0551549542007633e7,6.0857256519755395e6,6.658183965474871e6,5.2529224834326925e6,5.8300690659763105e6,7.654087965196683e6,4.836644445126023e6
-1.2215788736204147e7,1.2987150236067295e7,0.0,6.649663421970844e6,5.518249789377936e6,2.175248197414621e7,6.701763933622259e6,8.63106273236425e6,6.596030762769254e6,7.431826635372226e6,7.778455510654009e6,7.242638279450759e6
-1.3096059508947372e7,1.0742938890452862e7,0.0,6.649663421970844e6,5.630096059173717e6,1.546596566102137e7,5.13276689905917e6,6.457343434539978e6,5.177197453026175e6,5.702958592735157e6,2.3689087753115008e6,7.517758714104773e6
-1.7865426699775696e7,5.444143102411747e6,0.0,6.649663421970844e6,8.1305268627747875e6,1.877369170038926e7,4.815800605262564e6,6.605013747804559e6,5.111932695800673e6,5.725147131431842e6,7.752741189216368e6,4.620896391366781e6
