DE_welfare_delta,NO_welfare_delta,DE_comp_no_comp,DE_comp_lump_sum,DE_comp_PPA_DE,DE_comp_PPA_NO,DE_comp_flow,DE_comp_flow_value_NO,DE_comp_flow_value_DE,DE_comp_flow_value_avg,DE_comp_uncon_flow_value,DE_comp_con_flow_value
-1.078586361793518e6,-5.528618286121845e6,0.0,6.769177100535393e6,3.702681564990339e7,-1.829501846872269e6,5.712521209870895e6,4.728359775192226e6,8.560368173671298e6,6.98654680325445e6,6.177392370943342e6,7.426631953459074e6
1.4582821939517975e7,-1.1359848282806873e7,0.0,6.769177100535393e6,4.1145222656790074e6,-2.9743191539913595e7,8.300078239773633e6,3.335797610484194e6,7.9194270679751905e6,6.036911884257293e6,4.783827615526044e6,6.718746941394357e6
-1.1219721636426926e7,1.89746472029047e7,0.0,6.769177100535393e6,1.6689192738154163e6,1.4784438353319326e7,8.232001872086127e6,9.087031781103116e6,7.635128936422472e6,8.231431315517779e6,1.1036236455283122e7,6.703882775050809e6
-1.7469675960237503e7,7.070302136684418e6,0.0,6.769177100535393e6,4.941814855178507e6,1.7696132316896122e7,4.964753702165289e6,6.626076101824143e6,4.962667551833229e6,5.645836180781927e6,1.1012404951115195e7,2.7237464556930023e6
2.356312636198044e6,-1.0822796349751472e7,0.0,6.769177100535393e6,682633.8128304515,-6.751393569504479e6,7.97151076056108e6,6.050313418800207e6,7.308631188905369e6,6.7918349840344945e6,8.3779682544178935e6,5.927861709014081e6
-1.7264779923114777e6,1.7581576091463566e7,0.0,6.769177100535393e6,2.6195009266533483e7,2.1081835963148847e6,7.118759764388015e6,6.464927789460705e6,8.85363005914814e6,7.87258036179102e6,5.243780210675417e6,9.303282173663633e6
-2.3241387590942383e6,8.79906197223425e6,0.0,6.769177100535393e6,2.3717949428717762e7,-287431.8160505712,4.0140517418461773e6,3.4527495291989334e6,5.806002868512945e6,4.839512190442596e6,-941157.4163583252,7.986384843337726e6
-8.625168776147842e6,2.8683162624011517e7,0.0,6.769177100535393e6,785282.3762235926,1.7188736093844853e7,9.380938603231391e6,1.039978104407651e7,8.599215306388956e6,9.338714947865816e6,8.404286603563681e6,9.846853631375534e6
-1.2755170817079544e7,-3.855484041621208e6,0.0,6.769177100535393e6,-89532.94839817635,1.942422945924227e7,7.114608732280327e6,8.720895786012646e6,6.459435324129692e6,7.388226295640999e6,1.210663712070558e7,4.818903576051608e6
-1.3342303289718628e6,1.3085441136818886e7,0.0,6.769177100535393e6,3.737279049147245e6,4.25785914529549e6,8.57701445128221e6,8.013406245558244e6,8.136869590379751e6,8.086162694585563e6,8.109178118323097e6,8.073118186433915e6
-1.0875899604524612e7,3.7602570419493675e7,0.0,6.769177100535393e6,3.5472462639726372e6,1.5331021897236658e7,9.144442121602243e6,9.951731251048585e6,8.635410782592796e6,9.17602893060984e6,6.460157820311873e6,1.0654052058784176e7
