DE_welfare_delta,NO_welfare_delta,DE_comp_no_comp,DE_comp_lump_sum,DE_comp_PPA_DE,DE_comp_PPA_NO,DE_comp_flow,DE_comp_flow_value_NO,DE_comp_flow_value_DE,DE_comp_flow_value_avg,DE_comp_uncon_flow_value,DE_comp_con_flow_value
-1.078586361793518e6,-5.528618286121845e6,0.0,6.530149743406296e6,3.682510001636895e7,-2.0312174804064105e6,5.510805576336746e6,4.561396003402249e6,8.258091818626183e6,6.73984387422212e6,5.959261606975111e6,7.164389116280915e6
1.4582821939517975e7,-1.1359848282806873e7,0.0,6.530149743406296e6,3.8214370448091095e6,-3.003627676078353e7,8.0069930189037435e6,3.218006795602348e6,7.639783073746553e6,5.823741646356274e6,4.614905211086375e6,6.481500330651424e6
-1.1219721636426926e7,1.89746472029047e7,0.0,6.530149743406296e6,1.3782379070639308e6,1.4493756986567834e7,7.941320505334636e6,8.766158333928363e6,7.365523833186421e6,7.940770095768885e6,1.0646534369877573e7,6.467161034959693e6
-1.7469675960237503e7,7.070302136684418e6,0.0,6.530149743406296e6,4.766503744448128e6,1.7520821206165742e7,4.789442591434916e6,6.3921018040280305e6,4.78743010544832e6,5.446475271614784e6,1.0623544383278633e7,2.6275678645400913e6
2.356312636198044e6,-1.0822796349751472e7,0.0,6.530149743406296e6,401150.68406546145,-7.032876698269509e6,7.6900276317960825e6,5.83666995744297e6,7.050555093189514e6,6.55200755121961e6,8.082132648372574e6,5.718542157067312e6
-1.7264779923114777e6,1.7581576091463566e7,0.0,6.530149743406296e6,2.5943637747182377e7,1.8568120769637881e6,6.867388245036861e6,6.236643822208167e6,8.540998292744875e6,7.594590578141172e6,5.058616355969286e6,8.974772678702839e6
-2.3241387590942383e6,8.79906197223425e6,0.0,6.530149743406296e6,2.3576208687563747e7,-429172.55720460525,3.8723110006921226e6,3.330829008796552e6,5.600986291086593e6,4.668623500208144e6,-907924.0755055962,7.7043764937603595e6
-8.625168776147842e6,2.8683162624011517e7,0.0,6.530149743406296e6,454030.7442426027,1.6857484461863846e7,9.049686971250398e6,1.0032552924503412e7,8.295567214819943e6,9.008954281271081e6,8.107521666619363e6,9.499150008824637e6
-1.2755170817079544e7,-3.855484041621208e6,0.0,6.530149743406296e6,-340757.89007536956,1.91730045175651e7,6.8633837906031385e6,8.412951018049046e6,6.231345302086845e6,7.12733960600496e6,1.1679137968045738e7,4.648742599475523e6
-1.3342303289718628e6,1.3085441136818886e7,0.0,6.530149743406296e6,3.434414895070687e6,3.954994991218927e6,8.274150297205653e6,7.730443739476657e6,7.849547452901805e6,7.800631075380355e6,7.822833798278852e6,7.7880471836762065e6
-1.0875899604524612e7,3.7602570419493675e7,0.0,6.530149743406296e6,3.2243455922538005e6,1.500812122551782e7,8.821541449883416e6,9.600324280235391e6,8.330484587513041e6,8.852012892670704e6,6.232042286105524e6,1.0277845339931218e7
711098.040348053,1.0955195269717693e7,0.0,6.530149743406296e6,-1.599328334844901e6,-2.67249376721215e6,7.230404718674024e6,5.9838019767355835e6,6.455748780393985e6,6.26191831655861e6,4.195282220189816e6,7.386662555725798e6
-9.343670573640823e6,-1.4219755143194199e6,0.0,6.530149743406296e6,5.601107929509515e6,1.2598598557689777e7,5.818278298185732e6,6.671802732346588e6,5.799225364796496e6,6.157596423935244e6,7.633649392274877e6,5.353594696341465e6
-1.5166927141202927e7,1.4128462855462074e7,0.0,6.530149743406296e6,1.5364598023547746e7,2.19925342783959e7,5.622797095307518e6,7.683462393082066e6,6.477471171280405e6,6.972776650819248e6,1.0450579720838634e7,5.078906667463387e6
-8.045933182342529e6,2.1515625338968277e7,0.0,6.530149743406296e6,3.4399776539904955e6,1.3570227464197433e7,8.182443730999818e6,8.860672027932048e6,7.766374582999567e6,8.215806975973902e6,6.22062040380188e6,9.313984669831572e6
-1.4550431448915482e7,-5.436510642484188e6,0.0,6.530149743406296e6,5.051010873643715e6,1.1660340496039597e7,3.077282816136911e6,4.1577405481061735e6,3.250443222123161e6,3.623073908820054e6,2.4228254123319467e6,4.276296981230579e6
