mechanism,avg_DE_comp,std_DE_comp,avg_DE_net_welfare_delta,avg_NO_net_welfare_delta,std_DE_net_welfare_delta,std_NO_net_welfare_delta,std_DE_net_welfare,std_NO_net_welfare,prob_DE_loss,prob_NO_loss,avg_DE_loss,avg_NO_loss,CVaR_90_DE_loss,CVaR_90_NO_loss,CVaR_80_DE_loss,CVaR_80_NO_loss
no_compensation,0.0,0.0,-6.530149743407821e6,6.769177100536013e6,9.577179630903566e6,1.4484409304688148e7,1.6129012155099077e9,5.86303010720527e8,0.7999999999999999,0.4333333333333333,8.366382624439494e6,3.108823282960383e6,1.7380952713797893e7,1.3559728218824709e7,1.6272479206130031e7,1.07724615770642e7
lump_sum,6.769177100535393e6,0.0,239027.3571275711,6.198883056640625e-7,9.577179630903566e6,1.4484409304688148e7,1.6129012155099075e9,5.86303010720527e8,0.6333333333333333,0.4666666666666666,3.70098659809103e6,6.086301159796508e6,1.0611775613262497e7,2.0328905319360103e7,9.503302105594637e6,1.7541638677599594e7
PPA_DE,6.769177100542679e6,9.997459836777993e6,239027.3571348598,-6.668828427791596e-6,1.2001186097778918e7,1.6251155335153999e7,1.6184022565199409e9,5.829553977522787e8,0.5666666666666667,0.5333333333333333,4.453262632586452e6,6.3820279851235915e6,1.243970273052494e7,2.7881407779364355e7,1.1023599729350721e7,2.1228605605834804e7
PPA_NO,6.769177100541263e6,1.619418294534628e7,239027.35713343968,-5.248809854189555e-6,7.276749237344279e6,1.606553400260649e7,1.619243172489763e9,5.803207536467667e8,0.36666666666666664,0.5333333333333333,2.6248024049346275e6,6.741000794310546e6,1.6275800719303438e7,2.6308670766083337e7,1.1428928261825386e7,2.0962401751051594e7
flow,6.769177100534738e6,1.7494031986142965e6,239027.35712691757,1.2730558713277182e-6,1.0478789440427883e7,1.3885195026875377e7,1.6120190851774945e9,5.872286592305131e8,0.5666666666666667,0.4333333333333333,3.9567550126271625e6,5.880540305678298e6,1.2276167773786359e7,1.9818484739233315e7,1.1027907419538785e7,1.78298861464214e7
flow_value_DE,6.769177100535591e6,2.2100313987476802e6,239027.35712777133,4.197781284650167e-7,8.389756326589702e6,1.3012374750993624e7,1.6129536755222104e9,5.863045738377306e8,0.5666666666666667,0.4666666666666666,3.1787380934795244e6,5.546844844246655e6,1.0741934670051426e7,1.800714750528647e7,9.2684190535236e6,1.5672844623718614e7
flow_value_NO,6.7691771005354645e6,1.493469588165766e6,239027.35712764275,5.482385555903117e-7,1.0162481521850402e7,1.3771044333536021e7,1.6125976512973406e9,5.868331033177658e8,0.6,0.4333333333333333,3.934771302441368e6,5.839453904146193e6,1.2116545440422527e7,1.96104887145847e7,1.0453898689271655e7,1.7415249906719122e7
flow_value_avg,6.769177100535313e6,1.508033620238768e6,239027.35712749112,6.999199589093526e-7,9.419266460043347e6,1.342572325274575e7,1.612743557043214e9,5.866152000139111e8,0.5666666666666667,0.4666666666666666,3.6237555921314657e6,5.714557245798752e6,1.1551987229309782e7,1.892713504120789e7,9.967017401205095e6,1.6500910056336368e7
uncon_flow_value,6.769177100535436e6,3.164782614849647e6,239027.35712761135,5.795930822690328e-7,8.260399804264399e6,1.428858933866087e7,1.6132026248748953e9,5.862340166948905e8,0.6666666666666666,0.49999999999999994,2.994528373177191e6,6.149283879255046e6,1.0898947565444177e7,2.0254945714606665e7,8.856328357582303e6,1.7494490790628612e7
con_flow_value,6.76917710053548e6,2.050858762593934e6,239027.35712766077,5.302329858144125e-7,1.0296735624230986e7,1.316686029379928e7,1.612495421016995e9,5.868270654091656e8,0.5666666666666667,0.4333333333333333,4.058828385532737e6,5.573914408330751e6,1.3011571116520895e7,1.8203891379761003e7,1.119936655465084e7,1.6437706691811958e7
