mechanism,avg_DE_comp,std_DE_comp,avg_DE_net_welfare_delta,avg_NO_net_welfare_delta,std_DE_net_welfare_delta,std_NO_net_welfare_delta,std_DE_net_welfare,std_NO_net_welfare,prob_DE_loss,prob_NO_loss,avg_DE_loss,avg_NO_loss,CVaR_90_DE_loss,CVaR_90_NO_loss,CVaR_80_DE_loss,CVaR_80_NO_loss
no_compensation,0.0,0.0,-6.530149743407821e6,6.769177100536013e6,9.577179630903566e6,1.4484409304688148e7,1.6129012155099077e9,5.86303010720527e8,0.7999999999999999,0.4333333333333333,8.366382624439494e6,3.108823282960383e6,1.7380952713797893e7,1.3559728218824709e7,1.6272479206130031e7,1.07724615770642e7
lump_sum,6.530149743406296e6,0.0,-1.52587890625e-6,239027.35712971687,9.577179630903566e6,1.4484409304688148e7,1.6129012155099077e9,5.86303010720527e8,0.6333333333333333,0.4666666666666666,3.852370590939458e6,5.97475505980293e6,1.0850802970391594e7,2.0089877962231006e7,9.742329462723734e6,1.7302611320470497e7
PPA_DE,6.530149743413602e6,1.0021658845758393e7,5.779477457205455e-6,239027.3571224116,1.199926905814657e7,1.6287812311854314e7,1.6184334739335535e9,5.829230056958878e8,0.5666666666666667,0.5333333333333333,4.58442893258421e6,6.269840895223994e6,1.2654800138837533e7,2.7692987463344928e7,1.1249158190273471e7,2.1033835891777214e7
PPA_NO,6.530149743412187e6,1.6212500330283584e7,4.366040229797363e-6,239027.3571238251,7.281087315695709e6,1.610600278862254e7,1.619274407398995e9,5.80288308582054e8,0.36666666666666664,0.5333333333333333,2.70680675818116e6,6.63103372771217e6,1.6569480225155193e7,2.611402492685556e7,1.1704083602764446e7,2.077435112566948e7
flow,6.530149743405666e6,1.687629778166353e6,-2.1560738484064737e-6,239027.35713034694,1.044328771015853e7,1.3903045026083581e7,1.6120502100915363e9,5.871959096098683e8,0.5666666666666667,0.4333333333333333,4.079485011053248e6,5.782667819139631e6,1.2429853985800674e7,1.959748091443023e7,1.1193316317095943e7,1.7580680442700338e7
flow_value_DE,6.530149743406488e6,2.1319926716514137e6,-1.3327846924463907e-6,239027.35712952365,8.424664606608385e6,1.306081084717498e7,1.6129517715528312e9,5.863043767553213e8,0.5666666666666667,0.4666666666666666,3.3289407558976435e6,5.454347561484094e6,1.0949796401269801e7,1.7792353603876535e7,9.495957490282023e6,1.5480700040679196e7
flow_value_NO,6.530149743406364e6,1.4407334751478764e6,-1.4568368593851725e-6,239027.35712964772,1.0138642860999545e7,1.379410854684019e7,1.6126083479111967e9,5.868143285617337e8,0.6333333333333333,0.4333333333333333,4.0777483419754384e6,5.743032225264987e6,1.2275868098923035e7,1.9396829466430556e7,1.0639576489197157e7,1.7175242814311776e7
flow_value_avg,6.5301497434062185e6,1.4547832346521672e6,-1.603427032629649e-6,239027.35712979443,9.420776976787884e6,1.3461647486280518e7,1.6127491003885317e9,5.866041130533352e8,0.5666666666666667,0.4666666666666666,3.7582441795595004e6,5.616137847023359e6,1.1731245081578104e7,1.87376057899656e7,1.0169887534230134e7,1.6298632012769992e7
uncon_flow_value,6.530149743406335e6,3.053030534341103e6,-1.4876946806907655e-6,239027.35712967868,8.289898447830106e6,1.4283611493718402e7,1.6131918769782722e9,5.862361620968406e8,0.6666666666666666,0.49999999999999994,3.1735938105813195e6,6.027191773489826e6,1.1049785865477722e7,2.0018529955400918e7,9.106013645682538e6,1.7204736906940028e7
con_flow_value,6.530149743406383e6,1.9784406026629277e6,-1.4387071132659912e-6,239027.35712962976,1.0265209508334301e7,1.3210200111110333e7,1.6125097073961768e9,5.868084463322866e8,0.5666666666666667,0.4333333333333333,4.177954056845421e6,5.486869231638143e6,1.311413319876227e7,1.8039900686365332e7,1.1358721034763632e7,1.623221776426696e7
